"or","de","Time","acm_id","sch_id"
"90007","322+LUCAS+AVELOS+ANGELES+CA+90017",794,160,33
"90638","147+E.+107th+Street+Los+Angeles+CA+90003",2337,112,1
"90638","10915+S.+Mc+Kinley+Ave.+Los+Angeles+CA+90059",2222,112,2
"90638","405+E+122nd+St+Los+Angeles+Ca+90061",2212,112,3
"90638","330+E.+93rd+St+Los+Angeles+CA+90003",2417,112,4
"90638","1575+W+2nd.+ST+Los+Angeles+CA+90026",2856,112,5
"90638","1575+W+2nd.+ST+Los+Angeles+CA+90026",2856,112,24
"90638","4410+McKinley+Ave+Los+Angeles+CA+90011",2732,112,6
"90638","3500+S.+Hill+St.+Los+Angeles+CA+90007",2608,112,8
"90638","1515+E.+104th+St.+Los+Angeles+CA+90002",2181,112,9
"90638","234+E+112TH+ST+LOS+ANGELES+CA+90061",2107,112,10
"90638","2510+E.+Sixth+St.+Los+Angeles+CA+90023",2073,112,11
"90638","1319+E+41st+St.+Los+Angeles+Ca+90011",2491,112,12
"90638","1319+E+41st+St.+Los+Angeles+Ca+90011",2491,112,19
"90638","650+S.+Union+Ave.+Los+Angeles+CA+90017",2843,112,13
"90638","2265+E.+103rd+St+Los+Angeles+CA+90002",2226,112,14
"90638","325+E+111th+St+Los+Angeles+CA+90061",2250,112,15
"90638","4131+S+Vermont+Ave+Los+Angeles+Ca+90037",2839,112,16
"90638","1650+E.+104th+St.+Los+Angeles+CA+90002",2169,112,17
"90638","1200+Plaza+del+Sol+Los+Angeles+CA+90033",2178,112,18
"90638","4505+S.+Raymond+Ave.+Los+Angeles+CA+90037",2784,112,20
"90638","3201+W.+8th+St.+Los+Angeles+CA+90010",2905,112,21
"90638","1700+W+46TH+ST+Los+Angeles+CA+90062",2946,112,22
"90638","456+S+Mathews+St+Los+Angeles+CA+90033",2074,112,23
"90638","1921+S+Maple+Ave.+Los+Angeles+CA+90011",2387,112,25
"90638","725+S.+Indiana+St.+Los+Angeles+CA+90023",1832,112,26
"90638","152+N.+Vermont+Ave.+Los+Angeles+CA+90004",2922,112,27
"90638","144+E+118th+St+Los+Angeles+CA+90061",2354,112,28
"90638","1940+E+111TH+St.+LOS+ANGELES+CA+90059",2046,112,29
"90638","322+LUCAS+AVELOS+ANGELES+CA+90017",2797,112,30
