acm_id,Full.Name,Home.Address,School.Address,School,Commute.Time,Mode,Stutus,Commute.Rank
9,,,6940+South+Merrill+Avenue+Chicago+IL+60649,O'Keeffe School of Excellence,2184,driving,OK,10
9,,,1040+N+Keeler+Ave+Chicago+IL+60651,Brian Piccolo Elementary School of Excellence,2227,driving,OK,11
9,,,1000+West+52nd+Street+Chicago+IL+60609,The Sherman School of Excellence,2251,driving,OK,12
9,,,5515+S+Lowe+Ave+Chicago+IL+60621,John Hope College Prepatory High School,2268,driving,OK,13
9,,,3711+West+Douglas+Boulevard+Chicago+IL+60612,Herzl School of Excellence,2311,driving,OK,14
9,,,3615+West+16th+Street+Chicago+IL+60623,Dvorak School of Excellence,2316,driving,OK,15
9,,,6311+South+Calumet+Chicago+IL+60637,Dulles School of Excellence,2326,driving,OK,16
9,,,7736+S+Burnham+Ave+Chicago+IL+60647,Myra Bradwell School of Excellence,2370,driving,OK,17
9,,,4820+West+Walton+Chicago+IL+60651,McNair School of Excellence,2463,driving,OK,18
9,,,6006+S.+Peoria+St.+Chicago+IL+60621,Nicholson STEM Academy,2535,driving,OK,19
9,,,6010+South+Throop+Street+Chicago+IL+60636,Anna R. Langford Community Academy,2544,driving,OK,20
9,,,7240+S+Wabash+Ave+Chicago+IL+60619,Charles S Deneen School of Excellence,2622,driving,OK,21
9,,,5630+South+Rockwell+Street+Chicago+IL+60629,Gage Park High School,2738,driving,OK,22
9,,,720+North+Lorel+Avenue+Chicago+IL+60644,Howe School of Excellence,2738,driving,OK,22
9,,,7424+S+Morgan+St+Chicago+IL+60621,Amos Alonzo Stagg Elementary School of Excellence,2905,driving,OK,24
9,,,6550+S+Richmond+St+Chicago+IL+60629,Marquette School of Excellence,3127,driving,OK,25
9,,,32+E.+115th+Street+Chicago+IL+60628,Curtis School of Excellence,3288,driving,OK,26
10,,,3711+West+Douglas+Boulevard+Chicago+IL+60612,Herzl School of Excellence,2246,driving,OK,1
10,,,1313+S+Sacramento+Dr+Chicago+IL+60623,Collins Academy High School,2383,driving,OK,2
10,,,2745+W+Roosevelt+Rd+Chicago+IL+60608,Chalmers School of Excellence,2387,driving,OK,3
10,,,3615+West+16th+Street+Chicago+IL+60623,Dvorak School of Excellence,2419,driving,OK,4
10,,,1420+S.+Albany+Chicago+IL+60623,Johnson School of Excellence,2430,driving,OK,5
10,,,720+North+Lorel+Avenue+Chicago+IL+60644,Howe School of Excellence,2530,driving,OK,6
10,,,4820+West+Walton+Chicago+IL+60651,McNair School of Excellence,2678,driving,OK,7
10,,,1040+N+Keeler+Ave+Chicago+IL+60651,Brian Piccolo Elementary School of Excellence,2918,driving,OK,8
10,,,244+E.+Pershing+Road+Chicago+IL+60653,Wendell Phillips Academy,3109,driving,OK,9
10,,,7240+S+Wabash+Ave+Chicago+IL+60619,Charles S Deneen School of Excellence,3203,driving,OK,10
10,,,4214+S.+Saint+Lawrence+Ave+Chicago+IL+60653,Fuller School of Excellence,3221,driving,OK,11
10,,,5630+South+Rockwell+Street+Chicago+IL+60629,Gage Park High School,3267,driving,OK,12
10,,,32+E.+115th+Street+Chicago+IL+60628,Curtis School of Excellence,3290,driving,OK,13
10,,,1000+West+52nd+Street+Chicago+IL+60609,The Sherman School of Excellence,3295,driving,OK,14
10,,,6550+S+Richmond+St+Chicago+IL+60629,Marquette School of Excellence,3388,driving,OK,15
10,,,4343+West+Wrightwood+Chicago+IL+60639,Kelvyn Park High School,3395,driving,OK,16
10,,,7424+S+Morgan+St+Chicago+IL+60621,Amos Alonzo Stagg Elementary School of Excellence,3436,driving,OK,17
10,,,6311+South+Calumet+Chicago+IL+60637,Dulles School of Excellence,3474,driving,OK,18
10,,,5515+S+Lowe+Ave+Chicago+IL+60621,John Hope College Prepatory High School,3485,driving,OK,19
10,,,3601+North+Milwaukee+Avenue+Chicago+IL+60641,Schurz High School,3518,driving,OK,20
10,,,6010+South+Throop+Street+Chicago+IL+60636,Anna R. Langford Community Academy,3545,driving,OK,21
10,,,6006+S.+Peoria+St.+Chicago+IL+60621,Nicholson STEM Academy,3580,driving,OK,22
10,,,936+East+54th+St+Chicago+IL+60615,Kozminski Elementary Community Academy,3626,driving,OK,23
10,,,7736+S+Burnham+Ave+Chicago+IL+60647,Myra Bradwell School of Excellence,3871,driving,OK,24
10,,,6940+South+Merrill+Avenue+Chicago+IL+60649,O'Keeffe School of Excellence,4156,driving,OK,25
10,,,6631+N+Bosworth+Ave+Chicago+IL+60626,Sullivan High School,4551,driving,OK,26
